CountryCode,Country,SeriesCode,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
196,Cyprus,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
203,Czech Republic,553,"Maternal mortality ratio per 100,000 live births",14,14,13,12,11,10,9,9,7,7,7,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4
203,Czech Republic,570,"Births attended by skilled health personnel, percentage",100,100,100,100,100,100,100,100,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9, ,99.9, , , , ,
180,Democratic Republic of the Congo,553,"Maternal mortality ratio per 100,000 live births",879,881,883,890,904,914,920,919,915,902,874,853,830,808,793,787,789,803,792,793,794,777,771,746,717,693
180,Democratic Republic of the Congo,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , , ,60.7, , , , , ,74, , ,74.2, , , ,80.1,
208,Denmark,553,"Maternal mortality ratio per 100,000 live births",11,11,11,11,11,11,11,11,9,10,9,9,9,9,9,8,8,8,8,8,7,8,7,7,7,6
208,Denmark,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
262,Djibouti,553,"Maternal mortality ratio per 100,000 live births",517,499,477,466,459,452,445,429,420,410,401,396,382,371,357,341,330,321,309,290,275,266,257,243,237,229
262,Djibouti,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , , , , ,60.6, , ,92.9, , , , , ,87.4, , ,
212,Dominica,553,"Maternal mortality ratio per 100,000 live births", , , , , , , , , , , , , , , , , , , , , , , , , ,
212,Dominica,570,"Births attended by skilled health personnel, percentage", , , , , , , , , ,99.9,100, , ,100,100,99, ,94,100, , , ,100,100, ,
214,Dominican Republic,553,"Maternal mortality ratio per 100,000 live births",198,209,194,196,181,198,190,186,171,96,79,75,66,69,77,64,110,81,85,105,75,115,62,106,98,92
214,Dominican Republic,570,"Births attended by skilled health personnel, percentage", ,92.4, , , , ,95.5, , , ,97.6, ,98.7, , , ,95.5,97.8, , , , , ,98.6,97.7,
218,Ecuador,553,"Maternal mortality ratio per 100,000 live births",185,181,172,164,147,131,124,110,116,111,103,98,91,81,75,74,71,68,68,72,75,78,74,70,66,64
218,Ecuador,570,"Births attended by skilled health personnel, percentage", , , , ,98.7, , , , ,99.1, , , , ,98.2, , , , , , ,90.5, , ,93.7,
818,Egypt,553,"Maternal mortality ratio per 100,000 live births",106,102,98,93,88,83,78,74,70,66,63,60,58,56,54,52,50,47,45,43,40,39,37,35,34,33
818,Egypt,570,"Births attended by skilled health personnel, percentage", ,36.5,40.7, , ,46.3, ,56.4,55.2, ,60.9, , ,69.4, ,74.2, , ,78.9, , , , , ,91.5,
222,El Salvador,553,"Maternal mortality ratio per 100,000 live births",157,143,140,138,135,118,112,111,100,88,84,86,72,69,69,68,67,62,59,63,59,60,57,55,54,54
222,El Salvador,570,"Births attended by skilled health personnel, percentage", , , ,87.4, , , , ,90.4, , , , ,92.4, , , , ,95.5, , , , , ,98,
226,Equatorial Guinea,553,"Maternal mortality ratio per 100,000 live births",1310,1290,1260,1230,1170,1050,949,876,818,751,702,659,611,564,523,483,450,426,408,391,379,364,361,356,351,342
226,Equatorial Guinea,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , ,64.6, , , , , , , , , , ,68.3, , , ,
232,Eritrea,553,"Maternal mortality ratio per 100,000 live births",1590,1520,1430,1320,1210,1100,977,900,829,770,733,700,669,647,627,619,615,619,614,599,579,561,540,533,524,501
232,Eritrea,570,"Births attended by skilled health personnel, percentage", , , , , ,20.6, , , , , , ,28.3, , , , , , , ,34.1, , , , ,
233,Estonia,553,"Maternal mortality ratio per 100,000 live births",42,42,39,45,57,43,33,29,29,26,26,24,22,19,17,15,13,13,11,11,8,10,9,9,9,9
233,Estonia,570,"Births attended by skilled health personnel, percentage", , ,99,99.1,99.3,99.5,99.6,99.5,99.6,99.6,99.7,99.7,99.6,99.7,99.8,99.8,99.8, , , , , , , , ,
231,Ethiopia,553,"Maternal mortality ratio per 100,000 live births",1250,1230,1210,1180,1130,1080,1040,998,959,927,897,871,846,814,780,743,698,654,608,566,523,482,447,410,378,353
231,Ethiopia,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , ,5.6, , , , ,5.7, , , , , ,10, , ,15.5,
242,Fiji,553,"Maternal mortality ratio per 100,000 live births",63,61,59,57,54,51,49,47,45,43,42,41,40,40,39,39,39,37,36,35,34,33,33,32,31,30
242,Fiji,570,"Births attended by skilled health personnel, percentage", , , , , , , , ,100, ,99, , , , , , , ,99, ,99.7,99.6,99.3,99.6, ,
246,Finland,553,"Maternal mortality ratio per 100,000 live births",6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
246,Finland,570,"Births attended by skilled health personnel, percentage", , , ,100, , , , , , , , , , , , , , , , , , , , , ,
250,France,553,"Maternal mortality ratio per 100,000 live births",15,15,15,15,14,15,14,13,13,12,12,12,11,11,10,10,10,10,10,10,9,9,9,9,9,8
250,France,570,"Births attended by skilled health personnel, percentage", , , ,99, , , , , , , , , , , , , , , , , , , , , ,
266,Gabon,553,"Maternal mortality ratio per 100,000 live births",422,418,411,408,408,405,403,397,401,402,405,402,399,389,372,370,367,350,335,327,322,317,314,308,295,291
266,Gabon,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , ,85.5, , , , , , , , , , , ,89.3, , ,
270,Gambia,553,"Maternal mortality ratio per 100,000 live births",1030,1030,1020,1010,994,977,961,943,931,910,887,869,854,841,822,807,798,789,774,767,753,753,741,730,719,706
270,Gambia,570,"Births attended by skilled health personnel, percentage",44.1, , , , , , , , , ,54.6, , , , , ,56.8, , , ,56.6, , ,57.2, ,
268,Georgia,553,"Maternal mortality ratio per 100,000 live births",34,31,30,27,34,35,36,37,37,37,37,36,37,37,37,37,37,38,37,39,40,39,39,38,37,36
268,Georgia,570,"Births attended by skilled health personnel, percentage",96.6,91.3,91.1,90.8, , , , ,96,96.4,95.7,96.7,97.4,99, ,98.3, , , ,99.9, ,99.8,99.8,99.9, ,
276,Germany,553,"Maternal mortality ratio per 100,000 live births",11,11,10,10,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6
276,Germany,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
288,Ghana,553,"Maternal mortality ratio per 100,000 live births",634,600,569,551,535,532,527,515,501,487,467,449,437,420,396,376,358,345,337,330,325,320,324,321,322,319
288,Ghana,570,"Births attended by skilled health personnel, percentage", , , ,43.8, , , , ,44.3, , , , ,47.1, , ,49.7,55.2,57.1, , ,68.4, , , ,
300,Greece,553,"Maternal mortality ratio per 100,000 live births",5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
300,Greece,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
308,Grenada,553,"Maternal mortality ratio per 100,000 live births",41,38,38,39,38,37,33,30,29,29,29,29,28,27,26,25,25,25,25,26,27,27,27,27,27,27
308,Grenada,570,"Births attended by skilled health personnel, percentage", , , , , , , , ,99,99,100, , , , ,100, ,98.8, , , , ,99,99, ,
320,Guatemala,553,"Maternal mortality ratio per 100,000 live births",205,198,191,184,178,173,170,171,175,179,178,170,157,146,139,120,120,118,117,115,109,103,105,99,93,88
320,Guatemala,570,"Births attended by skilled health personnel, percentage", , , , , ,34.8, , , ,40.6, , ,41.4, , , , , , ,51.5,52.3, , ,62.8, ,
324,Guinea,553,"Maternal mortality ratio per 100,000 live births",1040,1010,982,973,967,964,972,975,977,979,976,973,961,928,882,831,791,770,743,731,720,711,695,695,688,679
324,Guinea,570,"Births attended by skilled health personnel, percentage", , ,30.5, , , , , , ,34.8, , , ,55.5, ,38, ,46.1, , , , ,45.3, , ,
624,Guinea-Bissau,553,"Maternal mortality ratio per 100,000 live births",907,877,848,825,799,780,777,776,782,788,800,799,793,775,745,714,679,643,614,587,570,563,553,554,553,549
624,Guinea-Bissau,570,"Births attended by skilled health personnel, percentage", , , , , ,25, , , , ,34.7, , , , , ,38.8, , , ,43, , , ,45,
328,Guyana,553,"Maternal mortality ratio per 100,000 live births",171,170,171,173,190,205,216,219,214,213,210,211,208,208,220,232,226,217,200,176,241,239,239,236,233,229
328,Guyana,570,"Births attended by skilled health personnel, percentage", , , , , , , ,95, , ,85.6, , , , , , ,83.3, ,91.9, , , , ,92.4,
332,Haiti,553,"Maternal mortality ratio per 100,000 live births",625,594,572,559,551,544,540,529,518,516,505,492,482,479,472,459,452,442,424,408,389,369,372,370,367,359
332,Haiti,570,"Births attended by skilled health personnel, percentage", , , , , ,20.6, , , , ,23.8, , , , , ,26.1, , , , , ,37.3, , ,
340,Honduras,553,"Maternal mortality ratio per 100,000 live births",272,251,229,207,186,166,151,141,134,132,133,134,136,141,148,150,153,154,157,157,155,149,141,135,132,129
340,Honduras,570,"Births attended by skilled health personnel, percentage", , ,46.9, , , ,54.9, , , , ,55.7, , , , ,66.9, , , , , ,82.9, , ,
348,Hungary,553,"Maternal mortality ratio per 100,000 live births",24,23,23,24,21,20,18,17,16,16,15,14,14,14,13,14,14,16,15,16,15,16,16,16,16,17
348,Hungary,570,"Births attended by skilled health personnel, percentage",99.4,99.4,99.5,99.4,99.4,99.4,99.5,99.5,99.5,99.5,99.5,99.6,99.6,99.6,99.6,99.6,99.7,99.6,99.5, ,99.1, , , , ,
352,Iceland,553,"Maternal mortality ratio per 100,000 live births",7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,4,4,3
352,Iceland,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
356,India,553,"Maternal mortality ratio per 100,000 live births",556,538,521,504,488,471,453,434,414,395,374,354,335,316,298,280,265,250,237,225,215,206,197,189,181,174
356,India,570,"Births attended by skilled health personnel, percentage", , , ,34.2, , , , , ,42.3,42.5, , , , , ,46.6, ,52.3, , , , , , ,
360,Indonesia,553,"Maternal mortality ratio per 100,000 live births",446,417,391,368,347,326,312,299,287,276,265,253,241,231,221,212,200,190,181,173,165,156,148,140,133,126
360,Indonesia,570,"Births attended by skilled health personnel, percentage", ,31.7,40.7, ,36.5,49.7, ,43.2,56, ,66.9, ,68.4,66.3, , , ,79.4, , , , ,83.1,87.4, ,
364,Iran (Islamic Republic of),553,"Maternal mortality ratio per 100,000 live births",123,113,103,94,87,80,73,66,60,55,51,46,43,39,36,34,32,30,29,28,27,27,26,26,26,25
364,Iran (Islamic Republic of),570,"Births attended by skilled health personnel, percentage", , , , , , , ,86.1, , ,89.6, , , , ,97.3, , , , , ,96.4, , , ,
368,Iraq,553,"Maternal mortality ratio per 100,000 live births",107,101,98,98,92,87,81,75,70,66,63,61,59,57,55,54,52,52,52,52,51,51,51,50,50,50
368,Iraq,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , ,72.1, , , , , ,88.5,79.7, , , ,90.9, , , ,
372,Ireland,553,"Maternal mortality ratio per 100,000 live births",11,10,10,9,9,10,9,9,9,9,9,9,8,7,7,8,7,7,8,9,7,8,8,8,8,8
372,Ireland,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , , , , ,100, , , , , , , , , , , ,
376,Israel,553,"Maternal mortality ratio per 100,000 live births",11,11,10,10,9,10,9,9,9,9,8,8,8,8,7,7,7,6,6,6,6,6,5,5,5,5
376,Israel,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
380,Italy,553,"Maternal mortality ratio per 100,000 live births",8,8,7,7,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
380,Italy,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
388,Jamaica,553,"Maternal mortality ratio per 100,000 live births",79,78,78,79,80,81,83,85,87,88,89,90,90,90,90,92,91,93,93,93,93,93,92,91,90,89
388,Jamaica,570,"Births attended by skilled health personnel, percentage", , , , , , , ,94.6, , , , ,96.9, , ,96.7, , ,98.3, , ,99.1, , , ,
392,Japan,553,"Maternal mortality ratio per 100,000 live births",14,13,12,12,11,11,11,10,10,10,10,9,8,8,8,7,7,6,6,6,6,6,6,6,6,5
392,Japan,570,"Births attended by skilled health personnel, percentage",100, , , , , ,100, , , , , , , , , , , , , , , , , , ,
400,Jordan,553,"Maternal mortality ratio per 100,000 live births",110,105,102,99,96,93,91,88,84,80,77,73,70,68,65,62,60,59,58,58,59,59,59,59,59,58
400,Jordan,570,"Births attended by skilled health personnel, percentage",87.2, , , , , , ,96.7, , , , ,99.5, , , , ,99.1, , , , ,99.6, , ,
398,Kazakhstan,553,"Maternal mortality ratio per 100,000 live births",78,77,80,87,86,92,91,87,81,72,65,60,54,50,46,44,41,37,30,24,20,17,15,13,12,12
398,Kazakhstan,570,"Births attended by skilled health personnel, percentage",99, , , , ,99.6, , , ,99.1,98.3, , , , , ,99.8, ,99.8, ,100,99.9, , , ,
404,Kenya,553,"Maternal mortality ratio per 100,000 live births",687,678,671,669,684,698,717,729,741,755,759,765,767,768,751,728,702,680,660,633,605,584,562,540,525,510
404,Kenya,570,"Births attended by skilled health personnel, percentage", , , ,45.4, , , , ,44.3, ,42.6, , ,41.6, , , , , ,43.8, , , , ,61.8,
296,Kiribati,553,"Maternal mortality ratio per 100,000 live births",234,232,228,222,215,207,198,190,182,174,166,160,153,146,140,135,128,123,119,114,109,105,101,96,93,90
296,Kiribati,570,"Births attended by skilled health personnel, percentage", , , , ,72, , , ,85, , , , , , ,63, , ,65,79.8, , , , , ,
